"aX,aY,aZ,gX,gY,gZ"
"-0.154297,-0.640869,-0.836670,-12.634276,-15.747069,-20.812986"
"-0.151489,-0.670410,-0.808472,-26.489256,-25.390623,-25.634764"
"-0.144287,-0.682617,-0.777710,-43.212887,-29.296873,-32.470703"
"-0.152832,-0.875122,-0.667725,-57.250973,-28.625486,-35.339355"
"-0.159058,-0.800293,-0.706909,-26.977537,-12.939452,-12.939452"
"-0.168213,-0.680908,-0.762939,-9.277344,-13.916015,-13.732909"
"-0.181885,-0.660034,-0.707764,-8.178711,-14.160155,-15.991210"
"-0.173096,-0.682739,-0.719604,-15.258788,-15.869140,-22.399900"
"-0.162964,-0.727173,-0.695435,-20.751951,-23.620604,-27.343748"
"-0.134277,-0.888062,-0.633667,-27.709959,-21.057127,-21.362303"
"-0.142090,-0.893799,-0.635498,-26.489256,-16.296387,-12.634276"
"-0.175049,-0.692993,-0.684692,-22.399900,-7.812500,-0.122070"
"-0.187744,-0.659546,-0.696289,-32.470703,-10.070800,-9.948730"
"-0.166992,-0.743286,-0.659180,-35.095215,-15.502929,-17.700195"
"-0.142578,-0.842651,-0.660889,-33.203125,-15.869140,-16.967773"
"-0.138428,-0.876709,-0.643311,-31.127928,-18.493652,-9.338379"
"-0.155640,-0.843750,-0.510254,-28.442381,-19.226074,0.427246"
"-0.170776,-0.786499,-0.493774,-25.573729,-6.652832,5.920410"
"-0.188232,-0.702271,-0.545898,-22.705076,-5.981445,-2.746582"
"-0.167236,-0.797119,-0.524658,-22.033689,-7.629394,-7.690429"
"-0.139893,-0.866699,-0.551270,-23.071287,-2.319336,-7.995605"
"-0.128418,-0.883301,-0.588135,-30.456541,4.089355,-2.014160"
"-0.140747,-0.888428,-0.591797,-28.442381,2.868652,1.464844"
"-0.156738,-0.807739,-0.585571,-12.207030,0.122070,7.446289"
"-0.155273,-0.800049,-0.590332,1.098633,-4.882812,6.530761"
"-0.159546,-0.830811,-0.486938,7.263183,-1.281738,6.530761"
"-0.158691,-0.814331,-0.511108,8.789063,7.751464,8.178711"
"-0.140991,-0.812988,-0.642944,2.685547,11.047362,7.507324"
"-0.130371,-0.853882,-0.618652,-7.873535,-8.239746,5.310058"
"-0.139038,-0.864136,-0.522827,-13.122558,-13.183593,7.934570"
"-0.143677,-0.767822,-0.521973,-21.728514,-13.183593,12.573241"
"-0.136841,-0.804443,-0.516602,-35.522461,-15.319823,6.774902"
"-0.134766,-0.827637,-0.495850,-40.588375,-16.296387,4.089355"
"-0.122314,-0.870605,-0.516235,-50.476070,-15.930175,3.845215"
