"aX,aY,aZ,gX,gY,gZ"
"-0.106689,0.036255,-0.979370,-11.474608,3.173828,-31.188963"
"-0.092041,-0.146118,-1.036011,-2.807617,-1.464844,-23.315428"
"-0.084351,-0.060791,-1.003296,-3.601074,-6.958007,-10.498046"
"-0.076172,-0.014526,-0.970581,-5.004883,-7.568359,-10.437011"
"-0.078491,0.062744,-0.949463,-4.150391,-5.554199,-7.751464"
"-0.095215,0.141479,-0.960571,-10.253905,-2.929687,-6.835937"
"-0.111450,0.187988,-0.965698,-14.770507,-2.075195,-20.080564"
"-0.101440,0.078247,-0.960693,-17.211914,-1.464844,-26.367186"
"-0.088257,-0.090210,-1.011230,-20.568846,-0.122070,-33.142090"
"-0.080444,-0.185059,-1.074951,-3.356933,-1.220703,-24.841307"
"-0.081909,-0.130737,-1.051758,11.169433,-8.605957,-6.103515"
"-0.080933,0.053955,-0.956787,-2.685547,-7.995605,-4.150391"
"-0.101074,0.105835,-0.995972,-24.963377,-4.821777,-13.549804"
"-0.102783,0.072754,-1.023315,-32.714844,-8.483887,-19.592285"
"-0.084839,-0.069702,-0.990356,-42.297359,-14.343261,-28.869627"
"-0.069458,-0.201538,-0.933472,-23.559568,-12.145995,-26.428221"
"-0.064941,-0.143188,-0.918701,4.943848,-1.708984,-11.596679"
"-0.055420,-0.022583,-1.008423,4.394531,1.159668,-14.831542"
"-0.048706,-0.073364,-1.002686,-4.150391,-3.479004,-16.479492"
"-0.042969,-0.054443,-0.964355,-17.822266,-8.117676,-14.770507"
"-0.056641,-0.135620,-1.048950,-28.442381,-5.981445,-18.920898"
"-0.047729,-0.197754,-1.057373,-31.677244,-11.596679,-16.296387"
"-0.043701,-0.233765,-0.973877,-8.056641,-11.779784,-4.089355"
"-0.065430,-0.032837,-0.944580,0.244141,-6.652832,-0.976562"
"-0.055176,-0.079346,-1.013428,2.441406,2.136230,-13.549804"
"-0.026611,-0.232544,-0.990356,4.699707,1.159668,-19.653320"
"-0.038696,-0.174438,-1.016846,1.403808,3.234863,-7.202148"
"-0.042969,-0.139526,-1.049072,-8.178711,0.366211,-2.441406"
"-0.038086,-0.130127,-0.994385,-6.408691,-4.699707,-2.746582"
"-0.035645,-0.134521,-0.954102,-3.173828,-1.892090,-2.929687"
"-0.040527,-0.140381,-0.995850,-1.281738,4.394531,-2.929687"
"-0.030273,-0.133667,-0.988647,-6.958007,2.929687,-1.708984"
"-0.025146,-0.170288,-0.984619,-6.042480,2.197266,-1.647949"
"-0.033936,-0.173950,-1.008301,-9.094238,0.610352,4.150391"
"-0.040161,-0.168091,-0.999512,-14.221190,-1.525879,4.516602"
"-0.052002,-0.154175,-1.009399,-27.221678,-3.173828,6.774902"
"-0.061279,-0.131104,-0.992065,-37.170410,-5.554199,7.812500"
